movie_id,title,poster_path,backdrop_path,genres,overview,year,runtime,vote_average,added_date
2649,The Game,/4UOa079915QjiTA2u5hT2yKVgUu.jpg,/k7GM13qRYSour3lk90Dq1EwdpoW.jpg,"Drama, Thriller, Mystery","In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",1997,0,7.6,2026-08-24
1902,Open Your Eyes,/1NkQNM5bw3U7n3RCba8JKnb61Ds.jpg,/k6xQZq2jkA7xRpvyy2kLWprFwIN.jpg,"Drama, Thriller, Science Fiction","Handsome 25-year-old Cesar had it all -- a successful career, expensive cars, a swank bachelor's pad, and an endless string of beautiful and willing women -- until he is thrown into a strange psychological mystery after a car accident scars his face and lands him in prison.",1997,0,7.5,2026-08-24
18533,Bronson,/6diyyGIbBNiANsdIaCGtyv4IofR.jpg,/uc8FwdCQi3eD7JIbyiZuzo5n6Jv.jpg,"Drama, Action, Crime","A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.",2009,0,6.9,2026-08-24
451915,Beautiful Boy,/u2Gfv0mz3xePsgyCPHovrnFL1sB.jpg,/sOhtC4cmaYPOlcjXCWxxrx2NKKn.jpg,Drama,"After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.",2018,0,7.6,2026-08-24
11423,Memories of Murder,/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg,/2NArMoObkAbnIPvqlHC3gRGsfBb.jpg,"Crime, Drama, Thriller","A sadistic serial rapist and murderer of young women terrorizes a small province in 1980s South Korea. To prevent further crimes, three increasingly desperate detectives with conflicting methods race against time to unravel the violent mind of the killer in a futile effort to solve the case.",2003,0,8.1,2026-08-24
787752,Fresh,/tlu71AgaL3EQBBCNGsAwZLPbV5D.jpg,/oVv5l6L5Wi5j3gd4P2vt0YvVMOg.jpg,"Horror, Thriller, Comedy","Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.",2022,0,6.9,2026-08-24
142,Brokeback Mountain,/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg,/vXzqV2RtJlT9WhNEM4NYWCEC6ZI.jpg,"Drama, Romance","In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",2005,0,7.8,2026-08-24
324786,Hacksaw Ridge,/fnOMP6mjmOmZwmlC1n0K7ivrzt1.jpg,/vDKRMZGFTKP9nQolzeSB1rB1w6p.jpg,"Drama, History, War","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",2016,0,8.2,2026-08-24
1402,The Pursuit of Happyness,/lBYOKAMcxIvuk9s9hMuecB9dPBV.jpg,/5jhG1lTgV0MS6tDkBMQSSitttTT.jpg,Drama,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2006,0,7.9,2026-08-24
9696,Ichi the Killer,/k8j4YLZlda98dqp9ErymKzjYowG.jpg,/j3P5wkyiigZW8aeogoZoiNIZySL.jpg,"Action, Crime, Horror","As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.",2001,0,7.0,2026-08-24
