Date,Name,Year,Letterboxd URI,Rating,movie_id,genres,overview,director,cast,keywords,poster_path,backdrop_path
2026-08-02,Spider-Man: Brand New Day,2026.0,https://letterboxd.com/sarthi_watcher/film/spider-man-brand-new-day/,4.0,969681.0,"Science Fiction, Action, Adventure",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,Destin Daniel Cretton,"Tom Holland, Zendaya, Mark Ruffalo","mind control, new york city, hero, mutation, secret identity, superhero, spider, villain, based on comic, sequel, transhumanism, super power, masked vigilante, spider web, aftercreditsstinger, marvel cinematic universe (mcu), masked superhero, fight for justice, genetic mutation",/ghF1JYv7P5BgWHYfq9dqhqqNfz8.jpg,/7iwUUcKURMT7aKfCwMy6YnGtchD.jpg
2026-07-30,The Man Who Sleeps,1974.0,https://letterboxd.com/sarthi_watcher/film/the-man-who-sleeps/,3.0,104086.0,,,,,,/bEX0pQzpmsBM6pRo3meindwNTzE.jpg,/wApH0pzzDIiw5mKv8vnfVOlt0iR.jpg
2026-07-29,Supergirl,2026.0,https://letterboxd.com/sarthi_watcher/film/supergirl-2026/,3.5,1081003.0,"Action, Adventure, Science Fiction","When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",Craig Gillespie,"Milly Alcock, Eve Ridley, Matthias Schoenaerts","galaxy, hero, superhero, villain, based on comic, space, female protagonist, dog, super power, heroine, reboot, solitude, supervillain, rescue dog, dc universe (dcu)",,
2026-07-29,Enough,2002.0,https://letterboxd.com/sarthi_watcher/film/enough/,4.0,1957.0,"Drama, Thriller","Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side, a controlling and abusive alter ego that can turn trust, love and tranquility into terror. Terrified for her child's safety, Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen, Mitch continually stalks the prey that was once his family.",Michael Apted,"Jennifer Lopez, Billy Campbell, Tessa Allen","husband wife relationship, waitress, self-defense, violence against women, stalking, domestic violence, hiding, physical abuse, name change, henchmen, abuse, abusive marriage, abusive husband, young daughter, threatened woman, escaping abuse, rich married couple, gone into hiding, friends since college",,
2026-07-27,The Drama,2026.0,https://letterboxd.com/sarthi_watcher/film/the-drama/,3.5,1325734.0,"Romance, Comedy, Drama",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,Kristoffer Borgli,"Zendaya, Robert Pattinson, Alana Haim","infidelity, boston, massachusetts, dark comedy, romcom, engaged couple, trust issues, provocative, romantic, adoring, audacious, melodramatic, sympathetic",/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,/1oKLEA9JOhvaBwLpqjROisvWMy7.jpg
2026-07-26,Aniara,2018.0,https://letterboxd.com/sarthi_watcher/film/aniara-2018/,3.5,496743.0,"Science Fiction, Drama","A ship carrying settlers to a new home on Mars after Earth is rendered uninhabitable is knocked off-course, causing the passengers to consider their place in the universe.","Hugo Lilja, Pella Kågerman","Emelie Garbers, Arvin Kananian, Bianca Cruzeiro","dystopia, space travel, based on song, poem or rhyme, woman director, mysterious",/pEpEJe8NTmwWL0hwYkZguTzEqzt.jpg,/mz8xBEIl1l18e2ToNlV1Tt5HVmJ.jpg
2026-07-25,The Endless,2017.0,https://letterboxd.com/sarthi_watcher/film/the-endless/,3.0,430231.0,,,,,,/uVHPBTLb6Sj1Eso9HzyBAOMRheM.jpg,/nvCMi8ZhH1Z8i9ZFHYrXBl8uBw0.jpg
2026-07-24,The Death of Robin Hood,2026.0,https://letterboxd.com/sarthi_watcher/film/the-death-of-robin-hood/,4.0,1284465.0,,,,,,/92Tsfx7SFafOqWsotvrlJbHyehd.jpg,/lh3BDkmWJh998n4fQcHYcVi7dpm.jpg
2026-07-23,The Ghost and Mrs. Muir,1947.0,https://letterboxd.com/sarthi_watcher/film/the-ghost-and-mrs-muir/,4.5,22292.0,,,,,,/idoD3cwfwj86BPvVoWVgWhnT2xq.jpg,/m1QTfbKD90j63Gh9bOJt0g67LvA.jpg
2026-07-21,Catch Me If You Can,2002.0,https://letterboxd.com/sarthi_watcher/film/catch-me-if-you-can-2002/,4.0,640.0,"Drama, Crime","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken","fbi, con man, biography, based on true story, con artist, chameleon, attempted jailbreak, engagement party, mislaid trust, christmas, bank fraud, conman, fraudster, assertive, compassionate",/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,/sfW8gtA6Bz2F4zK1FoCKbMqTF8Z.jpg
2026-07-20,His Three Daughters,2023.0,https://letterboxd.com/sarthi_watcher/film/his-three-daughters/,3.5,1154762.0,,,,,,/yTIHBPLQyzhgz1c2spak3btJxsg.jpg,/7QZCkr6hvQM0PDqsAOguUqOETNt.jpg
2026-07-19,The Ritual,2017.0,https://letterboxd.com/sarthi_watcher/film/the-ritual-2025/,1.0,1278950.0,"Horror, Mystery","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",,,,/uubL8yvtEBjz3V7DFQHjCuSQO8w.jpg,/yPXGTceIv5ApZ5SziDM8xqXb9Ko.jpg
2026-07-19,Sinister,2012.0,https://letterboxd.com/sarthi_watcher/film/sinister/,3.5,82507.0,,,,,,/nzx10sca3arCeYBAomHan4Q6wa1.jpg,/jovIEk4cAxWmA2dBcPrfhn3jzYN.jpg
2026-07-19,Next Floor,2008.0,https://letterboxd.com/sarthi_watcher/film/next-floor/,4.0,99343.0,,,,,,/1HBizk472Kb0SY8NM8XTbig2xpm.jpg,/ebdXwGc3y5lcbnUs9lJMlkycmsu.jpg
2026-07-17,Whistle,2025.0,https://letterboxd.com/sarthi_watcher/film/whistle-2025-1/,2.0,1193501.0,,,,,,/vgonf5kGsiijUBjzxKTvechhT28.jpg,/rfawRNnOrpqlvTi3Xn4XRjkxx66.jpg
2026-07-16,Cope,2025.0,https://letterboxd.com/sarthi_watcher/film/cope-2025/,4.0,1422036.0,"Mystery, Drama",Liam only has 6 weeks to live.,Anthony Sutcliffe,"Nick Hendrix, Jessica Ellerby, Caroline Langrishe",suicide,/bIuvzyv1HNXvFcEWxDMAtH0UQLJ.jpg,
2026-07-16,Live a Little,2024.0,https://letterboxd.com/sarthi_watcher/film/live-a-little-2024-1/,2.0,1492470.0,Drama,"An award-winning student short film shot on iPhone, reflecting the director’s experience in Rome. It inspires viewers to embrace life’s simple pleasures and 'Live a Little'.",George Ammerlaan,,"calm, thoughtful, short film, inspirational, powerful",/oc9aBlCBrw3z3E3L1kI9Oa231Wk.jpg,/jfrL93CzUhwE6KlxjiuDNBIhV9O.jpg
2026-07-16,Julius Caesar,1953.0,https://letterboxd.com/sarthi_watcher/film/julius-caesar/,4.0,18019.0,"Drama, History",The growing ambition of Julius Caesar is a source of major concern to his close friend Brutus. Cassius persuades him to participate in his plot to assassinate Caesar but both have sorely underestimated Mark Antony.,Joseph L. Mankiewicz,"Marlon Brando, James Mason, John Gielgud","assassination, based on play or musical, ancient rome, conspiracy, antiquity, julius caesar, 1st century bc",/u0tgcCv1x73fumXaVPEzyvjjs4G.jpg,/8NHcXLY9jLquzYlHhxGlv2BNCkF.jpg
2026-07-14,Big Take,2024.0,https://letterboxd.com/sarthi_watcher/film/big-take/,3.0,1304963.0,"Action, Crime, Comedy","While on the run, two criminals accidentally pick the same hiding spot and eavesdrop on their pursuers.",Alex Brooks,"John Scott Horton, Noah Bridgestock, Reid Robison","kodak, short film, 16mm film, 2020s",/nH2UU1XnGRo9x2QrqexIDNGsjpd.jpg,/aY2PX3Sx6fK3nMEy2TA5MJZTKbV.jpg
2026-07-14,The Wait,2020.0,https://letterboxd.com/sarthi_watcher/film/the-wait-2020/,1.0,835298.0,"Comedy, Music","""The Wait"" tells the story of a lonely drummer during the self-distancing period in 2020, who has grown frustrated with the absence of his band. Killing time, the self-taught drummer must do something by his own imagination.",Nolt Vutthisak,Kritthee Visitkitjakarn,drums,/lAHtwxhYAprWiSChGH3wWMNcAi2.jpg,/2cUGb9AaonTzz2polE63pwU7sjA.jpg
2026-07-13,"Wait, Your Car?",2025.0,https://letterboxd.com/sarthi_watcher/film/wait-your-car/,3.0,1477355.0,,,,,,/g20CanNUUyjrV2xZEE58XHkTAU7.jpg,/gQyf3FOlFQzahotA6P0apc4B52w.jpg
2026-07-13,O.C.D. (Obsessor Coercio Deus),2024.0,https://letterboxd.com/sarthi_watcher/film/ocd-obsessor-coercio-deus/,3.5,1236371.0,,,,,,/6O90dbSyUcYyYkDVcxtrix2Z7NX.jpg,/3omwe4CMdnaYqQ8ZHs7eg7nQsfS.jpg
2026-07-12,A Trip to the Moon,1902.0,https://letterboxd.com/sarthi_watcher/film/a-trip-to-the-moon/,3.0,775.0,,,,,,/9o0v5LLFk51nyTBHZSre6OB37n2.jpg,/g67r1eiQD3ERSEQFCFkSn7TeGw5.jpg
